2026/01/26 20:55:12 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:13 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:14 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:15 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:17 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:19 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:23 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:30 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:44 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:56:11 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:04 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:22 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:23 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:24 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:25 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:26 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:28 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:51 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:53 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:55 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:56 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:58 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:55:00 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:55:05 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:55:22 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:55:33 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:55:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:55:54 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:56:03 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:56:13 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:56:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:56:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:56:52 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:57:14 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:57:49 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:58:49 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 12:59:57 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:01:06 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:02:15 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:03:23 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:04:32 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:05:40 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:06:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:07:59 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:09:09 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:10:18 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/07 13:11:27 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:51:22 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:51:32 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:51:41 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:51:51 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:52:01 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:52:12 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:52:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:52:39 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:53:00 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:53:34 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:54:33 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:55:39 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:56:47 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:57:55 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 14:59:01 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:00:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:01:15 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:02:23 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:03:30 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:04:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:05:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:06:51 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:07:57 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:09:03 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:10:10 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:11:17 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:12:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:13:31 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:14:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:15:43 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:16:49 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:17:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:19:03 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:20:10 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:21:18 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:22:25 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:23:31 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:24:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:25:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:26:51 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:27:58 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:16 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:35 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:29:54 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:30:06 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:30:20 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:30:42 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:31:16 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:32:15 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:33:22 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:34:34 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:35:41 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:36:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:44:30 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:45:38 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:46:46 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:47:52 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:48:59 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:07 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:17 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:34 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:43 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:50:53 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:51:04 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:51:20 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:51:40 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:52:13 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:53:11 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:54:17 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:55:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:56:30 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:57:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:58:42 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:59:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 15:59:59 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:00:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:00:16 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:00:25 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:00:36 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:00:47 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:01:02 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:01:22 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:01:55 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:02:52 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:03:59 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:05:05 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:06:11 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:07:18 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:08:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:09:30 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:10:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:11:42 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:12:48 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:13:54 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:15:00 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:16:07 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:17:13 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:18:19 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:19:24 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:20:31 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:21:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:22:43 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:23:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:24:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:26:02 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:27:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:28:13 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:29:19 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:30:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:31:32 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:32:38 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:33:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:34:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:35:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:37:01 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:38:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:39:14 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:40:20 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:41:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:42:32 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:43:38 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:44:43 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:45:49 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:46:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:48:02 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:49:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:50:14 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:51:20 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:52:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:53:31 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:54:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:55:44 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:56:50 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:57:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 16:59:03 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:00:09 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
